CÓDIGO CHAVE PIX,CÓDIGO OCORRÊNCIA,CPF ENVOLVIDO,DATA OCORRÊNCIA,ESTADO OCORRÊNCIA,HORÁRIO OCORRÊNCIA,MUNICÍPIO OCORRÊNCIA,NOME ENVOLVIDO,REGISTRO DA VÍTIMA,TIPO DE CHAVE PIX,TIPOLOGIA,VALOR PAGAMENTO
137.284.095-88,PIX-00217,137.284.095-88,2022-02-25 00:00:00,DF,1899-12-30 17:47:53,BRASÍLIA,CAUÊ PIRES,VÍTIMA FOI CONTATADA POR UMA PESSOA FINGINDO SER UM FAMILIAR DISTANTE NECESSITANDO DE DINHEIRO URGENTE ATRAVÉS DE UM PIX PARA UMA SITUAÇÃO DE EMERGÊNCIA.,CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 100
137.284.095-88,PIX-00238,137.284.095-88,2022-03-02 00:00:00,DF,1899-12-30 16:32:17,BRASÍLIA,CAUÊ PIRES,"VÍTIMA RELATA QUE, APÓS TENTAR VENDER UM ITEM ONLINE, UM FALSO COMPRADOR ENGANOU-A COM UM COMPROVANTE DE PAGAMENTO POR PIX EDITADO, LEVANDO-A A ENTREGAR O ITEM SEM RECEBER O PAGAMENTO.",CPF,COMPROVANTE FALSO,R$ 1010
137.284.095-88,PIX-00271,137.284.095-88,2022-03-09 00:00:00,DF,1899-12-30 12:57:50,BRASÍLIA,CAUÊ PIRES,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 12500
137.284.095-88,PIX-00278,137.284.095-88,2022-03-10 00:00:00,DF,1899-12-30 08:55:40,BRASÍLIA,CAUÊ PIRES,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 23000
137.284.095-88,PIX-00395,137.284.095-88,2022-04-11 00:00:00,DF,1899-12-30 22:22:14,BRASÍLIA,CAUÊ PIRES,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 9800
137.284.095-88,PIX-00431,137.284.095-88,2022-04-19 00:00:00,DF,1899-12-30 15:40:15,BRASÍLIA,CAUÊ PIRES,VÍTIMA RELATOU UM GOLPE ONDE FOI SOLICITADO UM PIX PARA LIBERAR UM SUPORTE TÉCNICO FALSO.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 1640
214.895.036-33,PIX-02774,913.842.670-69,2023-11-06 00:00:00,SP,1899-12-30 19:27:04,SÃO PAULO,MIGUEL DA CONCEIÇÃO,"VÍTIMA INFORMA TER RECEBIDO UMA LIGAÇÃO DE UM FALSO FUNCIONÁRIO DO BANCO SOLICITANDO UM PIX PARA 'CONFIRMAR' SUA CONTA, APÓS O QUE OBSERVARAM MOVIMENTAÇÕES SUSPEITAS EM SUA CONTA.",CPF,FALSO ATENDENTE,R$ 1300
398.165.472-28,PIX-02562,398.165.472-28,2023-09-14 00:00:00,SP,1899-12-30 09:39:17,SÃO PAULO,NOAH VIANA,"VÍTIMA RELATA QUE, APÓS TENTAR VENDER UM ITEM ONLINE, UM FALSO COMPRADOR ENGANOU-A COM UM COMPROVANTE DE PAGAMENTO VIA PIX EDITADO, LEVANDO-A A ENTREGAR O ITEM SEM RECEBER O PAGAMENTO.",CPF,COMPROVANTE FALSO,R$ 2980
398.165.472-28,PIX-02986,398.165.472-28,2023-12-27 00:00:00,BA,1899-12-30 02:41:42,SALVADOR,NOAH VIANA,"VÍTIMA DECLARA TER CAÍDO EM UM GOLPE DE EMPREGO FALSO, ONDE FOI SOLICITADO UM PIX PARA SUPORTAS DESPESAS DE TREINAMENTO E MATERIAL.",CPF,FALSA OFERTA DE EMPREGO,R$ 2950
547.639.018-93,PIX-00184,089.431.257-04,2022-02-17 00:00:00,RJ,1899-12-30 09:16:37,RIO DE JANEIRO,ANA CAROLINA REZENDE,"DECLARANTE INFORMA QUE FOI VÍTIMA DE UM GOLPE DE VENDA FALSA DE VEÍCULOS ONLINE, ONDE FEZ UM PIX COMO SINAL PARA RESERVA DO VEÍCULO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 4110
80.147.352/0001-03,PIX-00011,176.852.430-08,2022-01-03 00:00:00,SP,1899-12-30 12:33:22,SÃO PAULO,ALICE ARAGÃO,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CNPJ,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 9900
80.147.352/0001-03,PIX-00039,137.284.095-88,2022-01-10 00:00:00,DF,1899-12-30 14:31:00,BRASÍLIA,CAUÊ PIRES,"VÍTIMA RELATA QUE CAIU EM UM GOLPE DE LOTERIA, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS ADMINISTRATIVAS' PARA LIBERAR UM PRÊMIO INEXISTENTE.",CNPJ,FALSO PREMIO,R$ 1320
80.147.352/0001-03,PIX-00062,176.852.430-08,2022-01-16 00:00:00,SP,1899-12-30 13:20:56,SÃO PAULO,ALICE ARAGÃO,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CNPJ,FALSO SEGURO,R$ 9900
80.147.352/0001-03,PIX-00076,137.284.095-88,2022-01-18 00:00:00,DF,1899-12-30 15:13:58,BRASÍLIA,CAUÊ PIRES,"DECLARANTE INFORMA QUE FOI VÍTIMA DE UM GOLPE DE VENDA FALSA DE VEÍCULOS ONLINE, ONDE FEZ UM PIX COMO SINAL PARA RESERVA DO VEÍCULO.",CNPJ,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 4530
80.147.352/0001-03,PIX-00112,137.284.095-88,2022-01-31 00:00:00,DF,1899-12-30 10:06:08,BRASÍLIA,CAUÊ PIRES,"VÍTIMA RELATA QUE FOI CONTATADA POR UM FALSO REPRESENTANTE DE UMA INSTITUIÇÃO DE CARIDADE, SOLICITANDO DOAÇÃO VIA PIX.",CNPJ,FALSA DOACAO,R$ 4460
80.147.352/0001-03,PIX-00126,137.284.095-88,2022-02-03 00:00:00,DF,1899-12-30 21:00:55,BRASÍLIA,CAUÊ PIRES,"VÍTIMA ENGANADA POR UM FALSO SORTEIO DE CARRO, SOLICITANDO PIX PARA 'TAXAS DE ENTREGA'.",CNPJ,FALSO PREMIO,R$ 2990
80.147.352/0001-03,PIX-00127,905.214.783-32,2022-02-03 00:00:00,RJ,1899-12-30 21:11:07,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA QUE RECEBEU UM EMAIL FALSO INFORMANDO SOBRE UMA DÍVIDA. AO TENTAR RESOLVER A SITUAÇÃO, FORNECEU DADOS PESSOAIS E REALIZOU UM PIX NO VALOR SOLICITADO.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 3890
80.147.352/0001-03,PIX-00129,176.852.430-08,2022-02-04 00:00:00,SP,1899-12-30 15:05:31,SÃO PAULO,ALICE ARAGÃO,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR UM CRIMINOSO, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CNPJ,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 9900
80.147.352/0001-03,PIX-00167,905.214.783-32,2022-02-14 00:00:00,CE,1899-12-30 12:44:23,FORTALEZA,DAVI LUIZ DA MOTA,VÍTIMA CAIU EM UM GOLPE ONDE UM FALSO AGENTE IMOBILIÁRIO SOLICITOU UM PIX PARA GARANTIR UMA VISITAÇÃO DE IMÓVEL.,CNPJ,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 2670
80.147.352/0001-03,PIX-00175,176.852.430-08,2022-02-15 00:00:00,SP,1899-12-30 15:32:43,SÃO PAULO,ALICE ARAGÃO,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CNPJ,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 9900
80.147.352/0001-03,PIX-00190,905.214.783-32,2022-02-18 00:00:00,RJ,1899-12-30 08:04:28,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA QUE RECEBEU UM EMAIL FALSO INFORMANDO SOBRE UMA DÍVIDA. AO TENTAR RESOLVER A SITUAÇÃO, FORNECEU DADOS PESSOAIS E REALIZOU UM PIX NO VALOR SOLICITADO.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 4440
80.147.352/0001-03,PIX-00247,905.214.783-32,2022-03-04 00:00:00,RJ,1899-12-30 09:38:48,SÃO GONÇALO,DAVI LUIZ DA MOTA,VÍTIMA RELATA QUE RECEBEU UMA LIGAÇÃO DE UM FALSO FAMILIAR SOLICITANDO DINHEIRO VIA PIX PARA UMA EMERGÊNCIA MÉDICA.,CNPJ,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 4840
80.147.352/0001-03,PIX-00315,905.214.783-32,2022-03-18 00:00:00,RJ,1899-12-30 21:01:58,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA QUE FOI ENGANADA POR UM FALSO ANÚNCIO DE EMPREGO, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS DE PROCESSAMENTO'.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 3780
80.147.352/0001-03,PIX-00340,905.214.783-32,2022-03-28 00:00:00,SP,1899-12-30 09:51:06,SÃO PAULO,DAVI LUIZ DA MOTA,"VÍTIMA CAIU EM UM GOLPE DE FALSO INVESTIMENTO, ONDE FEZ UM PIX ACREDITANDO EM RETORNO RÁPIDO E GARANTIDO.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 2930
80.147.352/0001-03,PIX-00374,905.214.783-32,2022-04-06 00:00:00,RJ,1899-12-30 17:50:49,SÃO GONÇALO,DAVI LUIZ DA MOTA,VÍTIMA FOI CONTATADA POR UMA PESSOA FINGINDO SER UM FAMILIAR DISTANTE NECESSITANDO DE DINHEIRO URGENTE ATRAVÉS DE UM PIX PARA UMA SITUAÇÃO DE EMERGÊNCIA.,CNPJ,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 2050
80.147.352/0001-03,PIX-00421,905.214.783-32,2022-04-15 00:00:00,RJ,1899-12-30 17:16:44,RIO DE JANEIRO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA QUE FOI ENGANADA POR UM FALSO ANÚNCIO DE EMPREGO, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS DE PROCESSAMENTO'.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 4910
80.147.352/0001-03,PIX-00458,905.214.783-32,2022-04-28 00:00:00,RJ,1899-12-30 20:28:24,SÃO GONÇALO,DAVI LUIZ DA MOTA,"VÍTIMA RELATA TER SIDO ENGANADA POR UM SITE DE LEILÕES FALSO, ONDE FEZ UM PIX PARA ARREMATAR UM PRODUTO INEXISTENTE.",CNPJ,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 3470
81.547.069/0001-31,PIX-00577,398.165.472-28,2022-05-26 00:00:00,SP,1899-12-30 10:46:24,SANTO ANDRÉ,NOAH VIANA,"VÍTIMA DECLARA TER CAÍDO EM UM GOLPE DE EMPREGO FALSO, ONDE FOI SOLICITADO UM PIX PARA SUPORTAS DESPESAS DE TREINAMENTO E MATERIAL.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 3600
81.547.069/0001-31,PIX-00712,398.165.472-28,2022-06-28 00:00:00,BA,1899-12-30 14:52:51,SALVADOR,NOAH VIANA,"VÍTIMA FOI ABORDADA POR UM FALSO REPRESENTANTE DE INSTITUIÇÃO FINANCEIRA, QUE SOLICITOU UM PIX SOB A ALEGAÇÃO DE ATUALIZAÇÃO CADASTRAL, RESULTANDO EM PERDA DE DINHEIRO.",CNPJ,FALSO ATENDENTE,R$ 2920
81.547.069/0001-31,PIX-00804,398.165.472-28,2022-07-16 00:00:00,PE,1899-12-30 21:23:07,JABOATÃO DOS GUARARAPES,NOAH VIANA,"VÍTIMA RELATA TER SIDO ENGANADA POR UM SUPOSTO ATENDENTE DE BANCO QUE SOLICITOU UM PIX PARA 'VERIFICAR' SUA CONTA, SOFRENDO UM PREJUÍZO.",CNPJ,FALSO ATENDENTE,R$ 3490
81.547.069/0001-31,PIX-02685,398.165.472-28,2023-10-13 00:00:00,MS,1899-12-30 16:26:56,CAMPO GRANDE,NOAH VIANA,UM GOLPISTA SE PASSOU POR REPRESENTANTE DE UMA OPERADORA DE TV E INTERNET SOLICITANDO PIX PARA UMA FALSA ATUALIZAÇÃO DE PLANO.,CNPJ,FALSO ATENDENTE,R$ 3260
81.547.069/0001-31,PIX-02723,398.165.472-28,2023-10-25 00:00:00,SP,1899-12-30 14:28:46,OSASCO,NOAH VIANA,VÍTIMA RELATA QUE RECEBEU UMA LIGAÇÃO DE UM FALSO SOBRINHO SOLICITANDO DINHEIRO VIA PIX PARA UMA EMERGÊNCIA MÉDICA.,CNPJ,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 1240
81.547.069/0001-31,PIX-02730,398.165.472-28,2023-10-27 00:00:00,PA,1899-12-30 10:25:38,BELÉM,NOAH VIANA,"VÍTIMA DECLARA TER CAÍDO EM UM GOLPE DE EMPREGO FALSO, ONDE FOI SOLICITADO UM PIX PARA SUPORTAS DESPESAS DE TREINAMENTO E MATERIAL.",CNPJ,FALSA OFERTA DE EMPREGO,R$ 4000
825.796.431-09,PIX-00159,825.796.431-09,2022-02-11 00:00:00,RS,1899-12-30 21:14:59,PORTO ALEGRE,ALEXIA COSTA,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 9900
825.796.431-09,PIX-00210,825.796.431-09,2022-02-23 00:00:00,RS,1899-12-30 19:03:19,PORTO ALEGRE,ALEXIA COSTA,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 9900
825.796.431-09,PIX-00252,825.796.431-09,2022-03-05 00:00:00,RS,1899-12-30 11:45:49,PORTO ALEGRE,ALEXIA COSTA,"VÍTIMA INFORMA QUE SUA CONTA BANCÁRIA FOI ACESSADA POR TERCEIROS NÃO AUTORIZADOS, QUE REALIZARAM VÁRIAS TRANSFERÊNCIAS VIA PIX, TOTALIZANDO UM PREJUÍZO SIGNIFICATIVO.",CPF,FALSA INDENIZACAO,R$ 9900
825.796.431-09,PIX-00392,825.796.431-09,2022-04-11 00:00:00,RS,1899-12-30 14:06:24,PORTO ALEGRE,ALEXIA COSTA,"VÍTIMA RELATA TER SIDO ENGANADA POR UM SITE DE LEILÕES FALSO, ONDE FEZ UM PIX PARA ARREMATAR UM PRODUTO INEXISTENTE.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 790
825.796.431-09,PIX-00541,825.796.431-09,2022-05-18 00:00:00,GO,1899-12-30 14:16:31,GOIÂNIA,ALEXIA COSTA,"DECLARANTE FOI ENGANADO POR UM GOLPE DE 'FALSO PRÊMIO', ONDE FOI SOLICITADO UM DEPÓSITO VIA PIX PARA LIBERAÇÃO DO PRÊMIO PROMETIDO, QUE NUNCA EXISTIU.",CPF,FALSO PREMIO,R$ 4710
825.796.431-09,PIX-00752,825.796.431-09,2022-07-06 00:00:00,RJ,1899-12-30 15:48:14,RIO DE JANEIRO,ALEXIA COSTA,"VÍTIMA CAIU EM UM GOLPE DE FALSA VENDA ONLINE E REALIZOU UM PIX PARA O SUPORTE FALSO, PERDENDO O VALOR PAGO SEM RECEBER O PRODUTO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 950
825.796.431-09,PIX-00837,825.796.431-09,2022-07-26 00:00:00,SP,1899-12-30 17:04:44,SÃO PAULO,ALEXIA COSTA,VÍTIMA RELATA TER FEITO UM PIX PARA UM FALSO SERVIÇO DE ASSISTÊNCIA TÉCNICA PARA SEU COMPUTADOR.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 370
869.271.534-46,PIX-02702,869.271.534-46,2023-10-19 00:00:00,PA,1899-12-30 11:40:47,BELÉM,GABRIELA CASTRO,"DECLARANTE FOI ENGANADO POR UM GOLPE DE 'FALSO PRÊMIO', ONDE FOI SOLICITADO UM DEPÓSITO VIA PIX PARA LIBERAÇÃO DO PRÊMIO PROMETIDO, QUE NUNCA EXISTIU.",CPF,FALSO PREMIO,R$ 4810
869.271.534-46,PIX-02784,869.271.534-46,2023-11-09 00:00:00,PA,1899-12-30 10:22:16,BELÉM,GABRIELA CASTRO,VÍTIMA RECEBEU UMA MENSAGEM DE WHATSAPP DE UM FALSO PARENTE AFIRMANDO ESTAR EM APERTO FINANCEIRO E SOLICITOU UM PIX COMO AJUDA.,CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 1680
869.271.534-46,PIX-02852,869.271.534-46,2023-11-24 00:00:00,PA,1899-12-30 18:36:22,BELÉM,GABRIELA CASTRO,VÍTIMA REPORTA QUE RECEBEU UMA MENSAGEM DE TEXTO SOLICITANDO UM PIX PARA EVITAR O CANCELAMENTO DE UM SERVIÇO INEXISTENTE.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 840
869.271.534-46,PIX-02965,869.271.534-46,2023-12-23 00:00:00,PA,1899-12-30 18:22:10,BELÉM,GABRIELA CASTRO,"NOTIFICADO SOBRE UM PRÊMIO INESPERADO, O DECLARANTE FORNECEU INFORMAÇÕES BANCÁRIAS E REALIZOU UM DEPÓSITO VIA PIX COMO TAXA DE PROCESSAMENTO, ANTES DE PERCEBER QUE SE TRATAVA DE UM GOLPE.",CPF,FALSO PREMIO,R$ 430
894.987.136-45,PIX-00958,970.851.236-21,2022-08-23 00:00:00,RS,1899-12-30 08:56:49,PORTO ALEGRE,ISIS FERNANDES,VÍTIMA FOI ENGANADA POR UM FALSO AGENTE DE VIAGENS QUE SOLICITOU UM PIX PARA UMA VIAGEM QUE NUNCA FOI ORGANIZADA.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 3500
894.987.136-45,PIX-01021,970.851.236-21,2022-09-06 00:00:00,SP,1899-12-30 12:48:21,SÃO JOSÉ DOS CAMPOS,ISIS FERNANDES,"VÍTIMA RELATA TER SIDO ENGANADA POR UM SITE DE LEILÕES FALSO, ONDE FEZ UM PIX PARA ARREMATAR UM PRODUTO INEXISTENTE.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 7900
894.987.136-45,PIX-01081,970.851.236-21,2022-09-18 00:00:00,SP,1899-12-30 16:38:00,SÃO PAULO,ISIS FERNANDES,VÍTIMA REPORTA QUE RECEBEU UMA MENSAGEM DE WHATSAPP SOLICITANDO UM PIX PARA EVITAR O CANCELAMENTO DE UM SERVIÇO INEXISTENTE.,CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 330
894.987.136-45,PIX-01142,970.851.236-21,2022-09-29 00:00:00,RJ,1899-12-30 10:17:42,RIO DE JANEIRO,ISIS FERNANDES,"VÍTIMA INFORMA TER RECEBIDO UMA LIGAÇÃO DE UM FALSO FUNCIONÁRIO DO BANCO SOLICITANDO UM PIX PARA 'CONFIRMAR' SUA CONTA, APÓS O QUE OBSERVARAM MOVIMENTAÇÕES SUSPEITAS EM SUA CONTA.",CPF,FALSO ATENDENTE,R$ 2100
894.987.136-45,PIX-01232,970.851.236-21,2022-10-20 00:00:00,SP,1899-12-30 13:33:09,SÃO PAULO,ISIS FERNANDES,"UM INDIVÍDUO SE PASSOU POR FILHO DA VÍTIMA, ALEGANDO UM ACIDENTE DE CARRO E SOLICITANDO UM PIX PARA COBERTURA DAS DESPESAS MÉDICAS.",CPF,FALSO SEQUESTRO,R$ 130
894.987.136-45,PIX-01393,970.851.236-21,2022-11-24 00:00:00,RJ,1899-12-30 09:37:04,NOVA IGUAÇU,ISIS FERNANDES,"VÍTIMA ENGANADA POR UM FALSO ANÚNCIO DE VENDA DE PRODUTOS TECNOLÓGICOS, ONDE FEZ UM PIX PARA RESERVAR O ITEM.",CPF,FALSO ANUNCIO,R$ 4760
894.987.136-45,PIX-02134,948.537.612-09,2023-05-30 00:00:00,RS,1899-12-30 20:35:01,PORTO ALEGRE,BERNARDO DA MOTA,"VÍTIMA RECEBEU UM LINK FRAUDULENTO POR MENSAGEM, QUE A LEVOU A UMA PÁGINA FALSA DE BANCO. AO INSERIR SEUS DADOS, UM VALOR FOI TRANSFERIDO VIA PIX SEM SUA AUTORIZAÇÃO.",CPF,APLICATIVO OU PAGINA FAKE,R$ 4670
894.987.136-45,PIX-02219,948.537.612-09,2023-06-22 00:00:00,RN,1899-12-30 11:54:51,NATAL,BERNARDO DA MOTA,"VÍTIMA RELATA QUE CAIU EM UM GOLPE DE LOTERIA, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS ADMINISTRATIVAS' PARA LIBERAR UM PRÊMIO INEXISTENTE.",CPF,FALSO PREMIO,R$ 4230
894.987.136-45,PIX-02273,948.537.612-09,2023-07-06 00:00:00,SP,1899-12-30 20:35:52,SÃO JOSÉ DOS CAMPOS,BERNARDO DA MOTA,"DECLARANTE INFORMA QUE FOI VÍTIMA DE UM GOLPE DE VENDA FALSA DE VEÍCULOS ONLINE, ONDE FEZ UM PIX COMO SINAL PARA RESERVA DO VEÍCULO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 2360
